drawing_id,metric,pre,post,diff,pct_change
36425e04-bebf-4ded-89a5-d1f871ff43dd,Nor-power,0.00842141,0.0,-0.00842141,-100.0
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,100XNor-power,1.51664,0.0,-1.51664,-100.0
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Pressure Power,0.199135,0.0,-0.199135,-100.0
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,slope_2,0.190514,906.584,906.3934859999999,475762.1413649391
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,R hemi-pr,1.33987,1.08565,-0.2542199999999999,-18.97348250203377
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,2nd order sm,-6.70038,11.067,17.76738,265.1697366418024
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Ang Sp Freq,4.64718,57.6349,52.98772,1140.2123438300218
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,3rd quad average median,0.0112324,0.0,-0.0112324,-100.0
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Speed mean slope,0.0378478,2644.19,2644.1521522000003,6986277.015308684
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,tightness (Lf),77.3219,0.0,-77.3219,-100.0
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,tightness (Rt),62.6212,0.0,-62.6212,-100.0
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,tightness (Lw),65.4327,0.0,-65.4327,-100.0
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Cal Tremor,1.0,0.0,-1.0,-100.0
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Tightness,61.5625,0.000973386,-61.561526614,-99.99841886538071
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,Catgo,2.0,1.0,-1.0,-50.0
d2ef85ef-4225-41e0-84bc-21cf6e9d6772,tightness (Rt-Lf),-14.7007,0.0,14.7007,100.0
